iter	Logloss
0	0.6767295027
1	0.6621992723
2	0.6491644756
3	0.6382044858
4	0.6282050033
5	0.61946587
6	0.6114263805
7	0.6042389288
8	0.5979434148
9	0.5923881165
10	0.5873834377
11	0.5830341569
12	0.5789812906
13	0.57554957
14	0.5723794952
15	0.5693804779
16	0.5668172039
17	0.5646873176
18	0.5624995027
19	0.5607869669
20	0.5591777739
21	0.5575623112
22	0.556084554
23	0.5547849867
24	0.5535679658
25	0.552514703
26	0.551487364
27	0.5505891968
28	0.5496823443
29	0.5488464801
30	0.5481666763
31	0.5473718922
32	0.546723973
33	0.5460958776
34	0.5456129101
35	0.5450856282
36	0.5446931974
37	0.5441909733
38	0.5438250539
39	0.5434147857
40	0.5429864114
41	0.5425638101
42	0.5422435712
43	0.5419003141
44	0.5415940473
45	0.5412995778
46	0.5410181961
47	0.5407775919
48	0.5405132879
49	0.5403098983
50	0.5401345396
51	0.5399138335
52	0.5397424962
53	0.5395742751
54	0.5393488072
55	0.5391849592
56	0.5390123099
57	0.5388593662
58	0.538701119
59	0.5385773035
60	0.5384186068
61	0.5382443432
62	0.5381142448
63	0.5379901835
64	0.5378808324
65	0.5377351383
66	0.5375837766
67	0.5374964026
68	0.5373755374
69	0.5372954534
70	0.5371905765
71	0.5371274668
72	0.5370603128
73	0.5369339802
74	0.5368416693
75	0.5367860999
76	0.5366356115
77	0.5365767012
78	0.5364765733
79	0.536349429
80	0.5362875533
81	0.536208459
82	0.5360949132
83	0.5360264018
84	0.5359753127
85	0.5359067956
86	0.535828653
87	0.5357516671
88	0.5356985579
89	0.5356415423
90	0.5355732166
91	0.5355161138
92	0.535503931
93	0.5354041907
94	0.5353274636
95	0.5352431988
96	0.5351422762
97	0.5350750113
98	0.535012095
99	0.5349462033
100	0.5348532685
101	0.5347796565
102	0.5347083493
103	0.5346366465
104	0.5345821004
105	0.5345130993
106	0.5344543562
107	0.5343723643
108	0.5342775821
109	0.5342233717
110	0.5341784382
111	0.5341560491
112	0.5340770654
113	0.534025396
114	0.533972637
115	0.5339402445
116	0.5338732656
117	0.5338329141
118	0.5337718709
119	0.533694212
120	0.5335996902
